Category: All categories

Month,Deep learning: (Worldwide)
2004-01,0
2004-02,0
2004-03,4
2004-04,4
2004-05,1
2004-06,2
2004-07,2
2004-08,1
2004-09,3
2004-10,4
2004-11,3
2004-12,1
2005-01,1
2005-02,0
2005-03,1
2005-04,1
2005-05,2
2005-06,0
2005-07,2
2005-08,2
2005-09,0
2005-10,2
2005-11,3
2005-12,5
2006-01,1
2006-02,3
2006-03,3
2006-04,3
2006-05,2
2006-06,3
2006-07,2
2006-08,1
2006-09,3
2006-10,2
2006-11,2
2006-12,2
2007-01,2
2007-02,3
2007-03,3
2007-04,2
2007-05,4
2007-06,2
2007-07,2
2007-08,1
2007-09,2
2007-10,3
2007-11,3
2007-12,2
2008-01,2
2008-02,3
2008-03,3
2008-04,5
2008-05,3
2008-06,2
2008-07,2
2008-08,3
2008-09,6
2008-10,20
2008-11,17
2008-12,11
2009-01,5
2009-02,10
2009-03,41
2009-04,50
2009-05,25
2009-06,17
2009-07,7
2009-08,10
2009-09,9
2009-10,11
2009-11,10
2009-12,8
2010-01,7
2010-02,4
2010-03,4
2010-04,3
2010-05,3
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,3
2010-12,3
2011-01,2
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,3
2011-07,2
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,3
2012-04,3
2012-05,3
2012-06,3
2012-07,2
2012-08,3
2012-09,3
2012-10,3
2012-11,6
2012-12,4
2013-01,3
2013-02,3
2013-03,5
2013-04,4
2013-05,5
2013-06,5
2013-07,5
2013-08,5
2013-09,5
2013-10,6
2013-11,6
2013-12,7
2014-01,7
2014-02,9
2014-03,9
2014-04,8
2014-05,10
2014-06,8
2014-07,8
2014-08,8
2014-09,9
2014-10,10
2014-11,10
2014-12,14
2015-01,15
2015-02,15
2015-03,18
2015-04,17
2015-05,17
2015-06,20
2015-07,21
2015-08,20
2015-09,20
2015-10,21
2015-11,24
2015-12,24
2016-01,30
2016-02,29
2016-03,39
2016-04,38
2016-05,35
2016-06,38
2016-07,39
2016-08,36
2016-09,43
2016-10,43
2016-11,46
2016-12,47
2017-01,49
2017-02,57
2017-03,62
2017-04,61
2017-05,66
2017-06,65
2017-07,60
2017-08,69
2017-09,70
2017-10,81
2017-11,87
2017-12,78
2018-01,80
2018-02,78
2018-03,85
2018-04,79
2018-05,88
2018-06,78
2018-07,74
2018-08,73
2018-09,84
2018-10,81
2018-11,86
2018-12,74
2019-01,81
2019-02,81
2019-03,84
2019-04,80
2019-05,80
2019-06,81
2019-07,82
2019-08,78
2019-09,81
2019-10,81
2019-11,80
2019-12,75
2020-01,77
2020-02,79
2020-03,70
2020-04,78
2020-05,78
2020-06,85
2020-07,77
2020-08,71
2020-09,71
2020-10,65
2020-11,63
2020-12,64
2021-01,62
2021-02,63
2021-03,66
2021-04,66
2021-05,60
2021-06,64
2021-07,61
2021-08,56
2021-09,61
2021-10,62
2021-11,67
2021-12,68
2022-01,79
2022-02,85
2022-03,97
2022-04,100
2022-05,92
2022-06,89
2022-07,81
2022-08,75
2022-09,83
2022-10,82
2022-11,89
2022-12,82
2023-01,83
2023-02,93
2023-03,89
2023-04,90
2023-05,92
